,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003227283756595,3.9206801587360607,4.155690448717507,3.5276423842863,3.9203102536157837,4.142704181256405,2.655802013195265,4.066270522273977,4.010429692957224,3.8052199695801754,3.536234166353058,3.5602737295841913,4.9600852406629645,3.9993511548598235,3.266163276672284,3.8863714464359407,2.38275507726248,3.1539114888356785,4.119523051798727,3.4068727084988337,4.011828603566113,3.609042179814404,3.4818608266538957,3.798405891110433,3.7970492480167737,3.984577247306565,3.330183454331271,3.990536494251157,3.4573023343278475,3.1090117428169473,2.7238940232596205,3.356778425759785,3.03996651710172,4.570542784653051
2,4.970686493227211,4.967956127910379,4.445323679992639,3.9038190181561347,4.8312070032285055,4.706611238103414,3.394187848618566,4.6988753869842785,4.531646155746415,4.837406477742142,3.963022611694575,4.0659360303640195,4.7769078933836,4.0128985658347105,3.99851200598683,4.217622695321389,2.5275079973174743,3.543064221692142,4.199307636044414,4.3986404297943,4.993939307487641,4.57380376472811,3.8223004163438237,4.732255673470882,4.314315215850964,4.494229779680857,4.414647550630378,4.163607150384737,3.462424108113045,4.388888375526465,2.994304276569536,4.346952499557051,4.0133927481116025,3.999405524341176
3,4.017198802963509,3.9857029157943047,4.955718952458425,4.088421701349641,4.5286395113682305,4.27113967469001,2.818635941198011,4.337839056771888,4.491392515334122,4.3677603391823645,3.7243295821548474,3.53237132845532,4.964899154518363,4.196708561508606,3.443416428534269,3.6209211850145624,2.7542096485418552,3.421377630156484,4.216649739776288,3.5029129370528125,4.440194989741343,3.0109372283614566,3.016022100555104,3.8630677239930744,4.080604070660879,4.316980710103117,3.8793687819227864,4.474732741673708,3.2058026566183098,3.2385718322814867,2.233633622374974,2.5916533254532106,3.4449397356969453,4.599394356647968
4,4.991059750598231,4.987235871835506,4.928956925072397,4.961965250975077,5.010566405007589,4.961597247598083,3.94511908931269,5.0760334254203325,4.951864469546517,5.017200229407956,4.511432795857213,3.822087099162985,5.000375958988124,4.204309379338453,3.582866615751233,4.371628955217235,3.126331770864485,3.541916768647871,4.341168469842268,3.98240881512907,4.722427515758388,4.5916664174122355,3.5983260624076734,4.979650000054343,4.062734373413358,4.741866604940644,4.503060811868585,4.906680049861388,3.1165360852750728,3.413007097036292,2.008407867596932,4.223604066570436,4.171601305290086,4.644363719396878
5,4.980628689476017,4.240462105063834,5.461054927532437,4.373637621010747,5.162416974954363,4.555465718668315,3.1499390531893776,4.638087731794667,4.982063459144072,4.918848742253806,4.14322778924835,4.1065938890508065,4.971514544480489,4.676377188902086,3.2952395105937278,4.269551010475969,3.023770377391505,3.437422456209641,4.969750528027679,3.390880786162663,3.9950607386578025,3.4894451166055833,3.109000091498687,4.431941031247366,4.507066515147783,4.723253204517043,3.7374419046442884,5.072923268235223,3.0172422100055614,3.6103177194263747,2.996266388738396,2.0317989692571223,4.9807538397203786,4.98731675209706
6,4.97068419164806,4.964527890123875,4.168381378365307,3.877297507638831,4.5070462949351455,4.5416600529863205,3.5554067908676945,4.707873977757661,4.286713700043826,4.623683669580899,3.884580086153662,3.7873760460028363,4.32246618530444,3.631630409651452,3.9073885957706245,4.09978031646344,2.543901047166622,3.085590395414478,3.7355184179179015,4.184366848273507,4.888332883202034,4.815036808410053,3.906785532646142,4.84744898097708,4.016453511143322,4.218001010458082,4.734067762615666,3.837526568695189,3.4754286831502963,3.8109657853400174,2.0107239179969087,4.979287229465023,4.001693999266121,3.016658662100968
7,4.978873357314264,4.184286232818997,4.220187332960968,2.041093960383005,4.145495438847029,4.238220725041506,2.8276327656462605,4.041007204934656,4.000946683630613,4.115012166683844,3.3286691855680415,4.967680146096163,4.988577487990325,4.912925388209082,4.039878240283235,4.983458549545629,2.116220546321005,2.9400565602775384,4.2611805037588555,4.523867699100907,4.6196328168147485,4.995945966030334,4.981601482656324,4.6934619528271115,4.547521137836716,3.987810862242167,3.79732924338662,3.6673651979465025,5.167217064778909,4.44749199938936,4.281197790726977,4.518500610632338,4.580483461187196,4.002950009410376
8,4.033189278662597,4.610597601709193,4.98832983407211,4.093178687563549,4.812414020485078,4.3800649023938965,3.454669347469665,4.456694460491249,4.892762918692785,5.002106846717599,4.2607738151488705,4.029712595824613,4.4139936579358885,4.984772672720773,3.4822949880502763,4.047817559991675,3.300463255623997,4.0560131221348374,3.663336267873212,3.938614152276281,5.037928172758453,3.6353482997690993,3.0011944036932534,4.480511810687488,4.267452219214056,4.697488262049798,4.961240542922264,4.964607987233349,3.4007816746736306,3.473229550467342,2.098652598701471,3.1539024780796474,3.7949944404140883,4.454675143016961
9,4.985849036240624,4.639817855080621,4.999144296754797,4.143225550809966,4.872371627258732,4.668026757821108,3.4080633337112163,4.796524760220078,4.769034390311953,4.763522981314238,4.352478398286352,4.28932562112198,4.999023093221801,4.867468905549013,3.362369443492497,4.977790019243181,2.9745995522962674,3.452024304757673,4.363964076355349,3.58822887693162,4.595691254234213,4.565766095049845,3.9724519163613095,4.754014992020077,4.421042952330376,4.7433437402646454,4.05381921570914,4.974982470599535,3.9982832507156236,3.446134232358143,2.6120494022661136,3.7339855758526292,4.461418267465607,4.890028774968594
10,4.009608887188757,3.985259289690414,4.0005856222663985,2.5248638756939803,3.924667379921872,4.251421089517095,2.77833457318896,4.018304957464079,4.007652186772437,3.903313734720928,2.5112209130674423,4.011633195860523,4.990415963816421,3.0195649671854645,4.950845012352295,3.549100938457099,2.949563403973825,2.7964960443318323,4.5220354368593405,5.087934875533163,3.9787242029509233,4.001601101663305,4.9604823864305505,4.037041781357581,3.6454148872099936,3.572158025344096,3.898006473826674,3.20654787879536,4.9978924334499375,5.330624878295598,2.9676923353554128,4.661829654797507,3.2995958944013584,4.02266979512328
